category,count,percentage
Psoriasis pictures Lichen Planus and related diseases,352,8.80
Seborrheic Keratoses and other Benign Tumors,343,8.58
Tinea Ringworm Candidiasis and other Fungal Infections,325,8.12
Acne and Rosacea Photos,311,7.78
Eczema Photos,309,7.72
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,288,7.20
Warts Molluscum and other Viral Infections,272,6.80
Nail Fungus and other Nail Disease,261,6.53
Systemic Disease,152,3.80
Light Diseases and Disorders of Pigmentation,143,3.57
Atopic Dermatitis Photos,122,3.05
Vascular Tumors,121,3.02
Melanoma Skin Cancer Nevi and Moles,116,2.90
Bullous Disease Photos,113,2.83
Scabies Lyme Disease and other Infestations and Bites,108,2.70
Lupus and other Connective Tissue diseases,105,2.62
Vasculitis Photos,105,2.62
Herpes HPV and other STDs Photos,102,2.55
Exanthems and Drug Eruptions,101,2.53
Cellulitis Impetigo and other Bacterial Infections,73,1.82
Poison Ivy Photos and other Contact Dermatitis,65,1.62
Hair Loss Photos Alopecia and other Hair Diseases,60,1.50
Urticaria Hives,53,1.32
